Product_code,Brand_name,Colour,Price_current_value,Price_currency,Image_url,Url
1487551,ASOS Curve,Noir/blanc,11.49,EUR,images.asos-media.com/products/asos-design-curve-ultimate-lot-de-2-debardeurs-en-coton-bio-economie/12452730-1-blackwhite,asos-curve/asos-design-curve-ultimate-lot-de-2-debardeurs-en-coton-bio-economie/prd/12452730?clr=noir-blanc&colourWayId=16420862
1487511,ASOS DESIGN,Noir,19.99,EUR,images.asos-media.com/products/asos-design-sweat-shirt-en-coton-biologique-noir/12451981-1-black,asos-design/asos-design-sweat-shirt-en-coton-biologique-noir/prd/12451981?clr=noir&colourWayId=16446232
1483953,ASOS DESIGN,Snake,44.99,EUR,images.asos-media.com/products/asos-design-short-en-similicuir-a-imprime-peau-de-serpent-pastel/12409358-1-snake,asos-design/asos-design-short-en-similicuir-a-imprime-peau-de-serpent-pastel/prd/12409358?clr=snake&colourWayId=16433724
1482740,ASOS DESIGN,Cuir noir brillant,121.99,EUR,images.asos-media.com/products/asos-design-aviate-bottines-style-motard-en-cuir-haut-de-gamme-noir/12395589-1-blackboxleather,asos-design/asos-design-aviate-bottines-style-motard-en-cuir-haut-de-gamme-noir/prd/12395589?clr=cuir-noir-brillant&colourWayId=16440088
1481619,Vero Moda Curve,Noir,44.99,EUR,images.asos-media.com/products/vero-moda-curve-blazer-long/12382664-1-black,vero-moda-curve/vero-moda-curve-blazer-long/prd/12382664?clr=noir&colourWayId=16453908
1473767,ASOS DESIGN,Bleu,49.99,EUR,images.asos-media.com/products/asos-design-combinaison-en-jean-boutonnee-dos-nu-bleu-delave-moyen/12286677-1-blue,asos-design/asos-design-combinaison-en-jean-boutonnee-dos-nu-bleu-delave-moyen/prd/12286677?clr=bleu&colourWayId=16447917
1471388,ASOS DESIGN,Croco moutarde,44.99,EUR,images.asos-media.com/products/asos-design-pleasant-chaussures-a-talon-haut-carre-effet-croco-moutarde/12246820-1-mustardcroc,asos-design/asos-design-pleasant-chaussures-a-talon-haut-carre-effet-croco-moutarde/prd/12246820?clr=croco-moutarde&colourWayId=16437153
1470030,ASOS DESIGN,Noir,56.99,EUR,images.asos-media.com/products/asos-design-expression-bottines-lacees-a-talon-noir/12229545-1-black,asos-design/asos-design-expression-bottines-lacees-a-talon-noir/prd/12229545?clr=noir&colourWayId=16432011
1468224,ASOS DESIGN,Cuir effet serpent,98.99,EUR,images.asos-media.com/products/asos-design-egypt-bottes-a-talons-en-cuir-motif-serpent/12202882-1-snakeleather,asos-design/asos-design-egypt-bottes-a-talons-en-cuir-motif-serpent/prd/12202882?clr=cuir-effet-serpent&colourWayId=16421579
1466567,ASOS DESIGN,Beige,42.99,EUR,images.asos-media.com/products/asos-design-speak-out-chaussures-pointues-a-talon-mi-haut-beige/12182062-1-beige,asos-design/asos-design-speak-out-chaussures-pointues-a-talon-mi-haut-beige/prd/12182062?clr=beige&colourWayId=16449424
1449234,Bloomingville,Multi,13.99,EUR,images.asos-media.com/products/bloomingville-pot-de-fleurs-a-suspendre-bleu-et-blanc/11943151-1-multi,bloomingville/bloomingville-pot-de-fleurs-a-suspendre-bleu-et-blanc/prd/11943151?clr=multi&colourWayId=16412537
1457606,Superdry,Blue stripe white na,29.99,EUR,images.asos-media.com/products/superdry-lot-de-3-culottes-bordees-de-dentelle/12056896-1-bluestripewhitena,superdry/superdry-lot-de-3-culottes-bordees-de-dentelle/prd/12056896?clr=blue-stripe-white-na&colourWayId=16439194
1453381,ASOS Tall,Taupe,34.99,EUR,images.asos-media.com/products/asos-design-tall-robe-courte-en-maille-cotelee-a-manches-raglan/11997962-1-taupe,asos-tall/asos-design-tall-robe-courte-en-maille-cotelee-a-manches-raglan/prd/11997962?clr=taupe&colourWayId=16432745
1443955,ASOS DESIGN,Multi,13.99,EUR,images.asos-media.com/products/asos-design-bonnet-en-maille-melangee-epaisse-multicolore/11876989-1-multi,asos-design/asos-design-bonnet-en-maille-melangee-epaisse-multicolore/prd/11876989?clr=multi&colourWayId=16409731
1443828,ASOS DESIGN,Orange,8.49,EUR,images.asos-media.com/products/asos-design-bonnet-pelucheux-style-pecheur-orange/11875265-1-orange,asos-design/asos-design-bonnet-pelucheux-style-pecheur-orange/prd/11875265?clr=orange&colourWayId=16413860
1443670,ASOS DESIGN,Gris,11.49,EUR,images.asos-media.com/products/asos-design-petit-bonnet-de-pecheur-en-polyester-recycle-gris/11873805-1-grey,asos-design/asos-design-petit-bonnet-de-pecheur-en-polyester-recycle-gris/prd/11873805?clr=gris&colourWayId=16409762
1443656,ASOS DESIGN,Noir,11.49,EUR,images.asos-media.com/products/asos-design-petit-bonnet-style-pecheur-cotele-en-polyester-recycle-noir/11873507-1-black,asos-design/asos-design-petit-bonnet-style-pecheur-cotele-en-polyester-recycle-noir/prd/11873507?clr=noir&colourWayId=16414050
1442244,ASOS DESIGN,Bleu,16.99,EUR,images.asos-media.com/products/asos-design-echarpe-longue-tissee-ultra-douce-a-bords-bruts-bleu/11852789-1-blue,asos-design/asos-design-echarpe-longue-tissee-ultra-douce-a-bords-bruts-bleu/prd/11852789?clr=bleu&colourWayId=16418969
1442065,ASOS DESIGN,Gris clair,11.49,EUR,images.asos-media.com/products/asos-design-bonnet-coupe-boyfriend-a-double-revers-en-polyester-recycle-gris/11850772-1-lightgrey,asos-design/asos-design-bonnet-coupe-boyfriend-a-double-revers-en-polyester-recycle-gris/prd/11850772?clr=gris-clair&colourWayId=16423120
1440178,ASOS DESIGN,Tabac,16.99,EUR,images.asos-media.com/products/asos-design-echarpe-longue-tissee-ultra-douce-a-bords-bruts-tabac/11844404-1-tobacco,asos-design/asos-design-echarpe-longue-tissee-ultra-douce-a-bords-bruts-tabac/prd/11844404?clr=tabac&colourWayId=16419128
1545806,Shiseido,Honey flash 310,29.45,EUR,images.asos-media.com/products/shiseido-lacquerink-brillant-a-levres-honey-flash-310/13178450-1-honeyflash310,shiseido/shiseido-lacquerink-brillant-a-levres-honey-flash-310/prd/13178450?clr=honey-flash-310&colourWayId=16444173
1535743,The North Face,Vert,230.0,EUR,images.asos-media.com/products/the-north-face-saikuru-doudoune-vert/13067319-1-green,the-north-face/the-north-face-saikuru-doudoune-vert/prd/13067319?clr=vert&colourWayId=16472453
1531042,Mango,Blanc,29.99,EUR,images.asos-media.com/products/mango-blouse-avec-liens-noues-a-lencolure-blanc/13014344-1-white,mango/mango-blouse-avec-liens-noues-a-lencolure-blanc/prd/13014344?clr=blanc&colourWayId=16459461
1517070,Vero Moda Curve,Multi,37.99,EUR,images.asos-media.com/products/vero-moda-curve-robe-courte-babydoll-a-imprime-geometrique/12827982-1-multi,vero-moda-curve/vero-moda-curve-robe-courte-babydoll-a-imprime-geometrique/prd/12827982?clr=multi&colourWayId=16465208
1510372,ASOS Curve,Mustard,62.99,EUR,images.asos-media.com/products/asos-design-curve-combinaison-en-jean-safari-moutarde/12743279-1-mustard,asos-curve/asos-design-curve-combinaison-en-jean-safari-moutarde/prd/12743279?clr=mustard&colourWayId=16459499
1487605,ASOS Maternity,Noir/blanc,11.49,EUR,images.asos-media.com/products/asos-design-maternity-ultimate-lot-de-2-debardeurs-en-coton-bio-economie/12453054-1-blackwhite,asos-maternity/asos-design-maternity-ultimate-lot-de-2-debardeurs-en-coton-bio-economie/prd/12453054?clr=noir-blanc&colourWayId=16427876
1456930,adidas Originals,Touche d'orchidée,109.95,EUR,images.asos-media.com/products/adidas-originals-falcon-baskets-zippees-lilas/12046991-1-orchidtint,adidas-originals/adidas-originals-falcon-baskets-zippees-lilas/prd/12046991?clr=touche-dorchidee&colourWayId=16365256
